,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Mogadishu,SO,1559866438,2.04,45.34,77.09,86,3,10.83
1,Mar del Plata,AR,1559866438,-46.43,-67.52,45.77,55,45,21.56
2,Yellowknife,CA,1559866393,62.45,-114.38,41.0,86,90,12.75
3,Batemans Bay,AU,1559866439,-35.71,150.18,55.99,65,0,3.0
4,Punta Arenas,CL,1559866439,-53.16,-70.91,39.2,86,40,9.17
5,Houma,CN,1559866440,35.63,111.36,73.31,63,1,4.0
6,Kirakira,SB,1559866440,-10.46,161.92,83.93,75,100,11.12
7,Ushuaia,AR,1559866440,-54.81,-68.31,41.0,75,75,9.17
8,Georgetown,GY,1559866247,6.8,-58.16,80.6,78,40,16.11
9,Gazojak,TM,1559866441,41.19,61.4,70.25,28,0,7.29
10,Tuatapere,NZ,1559866441,-46.13,167.69,52.61,79,99,35.63
11,Grand Gaube,MU,1559866442,-20.01,57.66,73.4,83,75,14.99
12,Albany,US,1559866213,42.65,-73.75,73.4,60,20,2.39
13,Faanui,PF,1559866442,-16.48,-151.75,81.95,78,24,13.76
14,Yekimovichi,RU,1559866442,54.11,33.29,58.19,87,0,5.08
15,Sinnamary,GF,1559866442,5.38,-52.96,82.13,81,81,10.74
16,Mataura,NZ,1559866443,-46.19,168.86,48.29,85,100,11.56
17,Busselton,AU,1559866443,-33.64,115.35,55.0,72,48,23.15
18,Chuy,UY,1559866443,-33.69,-53.46,64.49,83,52,14.47
19,Chokurdakh,RU,1559866443,70.62,147.9,47.39,43,64,12.21
20,Meulaboh,ID,1559866443,4.14,96.13,80.87,71,100,5.66
21,Zavitinsk,RU,1559866444,50.11,129.44,68.27,63,0,2.42
22,Swedru,GH,1559866444,6.83,-1.6,72.59,99,93,3.09
23,Abu Samrah,SY,1559866444,35.3,37.18,77.81,23,90,6.35
24,Castro,CL,1559866445,-42.48,-73.76,44.6,87,20,5.82
25,Cape Town,ZA,1559866293,-33.93,18.42,52.0,93,0,5.82
26,Cherskiy,RU,1559866445,68.75,161.3,50.81,31,31,7.23
27,Port Blair,IN,1559866446,11.67,92.75,85.37,77,99,11.83
28,Nikolskoye,RU,1559866446,59.7,30.79,66.2,77,0,4.47
29,Avarua,CK,1559866446,-21.21,-159.78,78.8,83,30,11.41
30,Provideniya,RU,1559866160,64.42,-173.23,42.8,87,90,13.42
31,Saint George,GR,1559866447,39.45,22.34,66.2,88,20,5.01
32,Vaini,IN,1559866447,15.34,74.49,79.25,87,76,1.23
33,Erzin,TR,1559866448,36.95,36.2,72.0,100,0,4.7
34,Saskylakh,RU,1559866448,71.97,114.09,54.77,35,91,5.84
35,Kruisfontein,ZA,1559866448,-34.0,24.73,43.97,68,41,4.76
36,Hermanus,ZA,1559866448,-34.42,19.24,48.99,92,39,1.99
37,Quzhou,CN,1559866448,28.97,118.86,73.13,96,100,0.67
38,Barrow,AR,1559866448,-38.31,-60.23,54.77,46,97,8.46
39,Togur,RU,1559866449,58.36,82.83,59.45,88,100,11.34
40,Rikitea,PF,1559866449,-23.12,-134.97,72.41,68,52,14.76
41,Safidon,IN,1559866449,29.4,76.66,89.15,26,0,7.65
42,Nanortalik,GL,1559866449,60.14,-45.24,40.37,65,100,42.9
43,Sorland,NO,1559866449,67.67,12.69,50.63,84,26,13.8
44,Masterton,NZ,1559866450,-40.95,175.66,53.01,89,86,15.5
45,East London,ZA,1559866231,-33.02,27.91,43.79,72,28,4.72
46,Chapais,CA,1559866450,49.78,-74.86,59.0,49,90,6.93
47,Moura,PT,1559866450,38.14,-7.45,55.4,93,90,4.7
48,Tiksi,RU,1559866450,71.64,128.87,35.87,69,3,7.31
49,Neuquen,AR,1559866222,-38.95,-68.06,53.6,40,0,12.75
50,Tasiilaq,GL,1559866451,65.61,-37.64,33.8,86,10,9.17
51,Mmabatho,ZA,1559866451,-25.85,25.61,44.6,45,81,3.36
52,Hithadhoo,MV,1559866451,-0.6,73.08,82.67,81,100,12.75
53,Bara,NG,1559866452,10.41,10.6,76.91,76,100,9.91
54,Colac,AU,1559866452,-38.34,143.59,54.0,98,97,1.61
55,Naze,NG,1559866452,5.43,7.07,72.23,97,100,3.02
56,Okhotsk,RU,1559866452,59.36,143.24,40.91,95,100,9.17
57,Puerto Ayora,EC,1559866452,-0.74,-90.35,78.8,74,75,18.34
58,Saint-Philippe,CA,1559866452,45.36,-73.48,73.4,35,1,7.43
59,Dwarka,IN,1559866453,28.58,77.04,98.01,51,0,6.93
60,Clyde River,CA,1559866453,70.47,-68.59,35.6,72,75,11.41
61,Licata,IT,1559866453,37.11,13.95,69.01,88,100,3.36
62,Atar,MR,1559866453,20.52,-13.05,91.31,14,0,11.83
63,Pevek,RU,1559866453,69.7,170.27,33.35,91,65,4.9
64,Airai,TL,1559866453,-8.93,125.41,77.81,66,39,8.86
65,Hilo,US,1559866320,19.71,-155.08,82.4,65,20,11.41
66,Kodiak,US,1559866454,39.95,-94.76,82.99,30,1,6.93
67,Joniskis,LT,1559866454,56.24,23.62,60.8,93,27,5.82
68,Qaanaaq,GL,1559866454,77.48,-69.36,33.17,90,69,4.5
69,Dunedin,NZ,1559866454,-45.87,170.5,50.0,67,58,8.01
70,Cockburn Town,TC,1559866454,21.46,-71.14,82.49,75,30,8.43
71,Butaritari,KI,1559866455,3.07,172.79,83.75,82,83,15.79
72,Kapaa,US,1559866455,22.08,-159.32,84.2,69,40,16.11
73,Severo-Kurilsk,RU,1559866455,50.68,156.12,39.47,97,99,11.23
74,Souillac,FR,1559866455,45.6,-0.6,66.2,52,0,19.46
75,Vila Velha,BR,1559866455,-3.71,-38.6,82.4,74,0,5.82
76,Chiang Khong,LA,1559866455,20.27,100.41,75.99,94,0,0.72
77,Plymouth,GB,1559866358,50.37,-4.14,54.0,87,20,3.36
78,New Norfolk,AU,1559866456,-42.78,147.06,59.0,58,75,19.46
79,Kodinsk,RU,1559866456,58.6,99.18,63.77,54,10,3.89
80,Portland,US,1559866456,45.52,-122.67,64.4,67,75,6.93
81,Spencer,US,1559866457,43.14,-95.14,88.0,23,1,5.82
82,Bluff,AU,1559866457,-23.58,149.07,65.93,62,54,20.33
83,Itarema,BR,1559866457,-2.92,-39.92,77.81,80,44,6.44
84,Ilulissat,GL,1559866457,69.22,-51.1,46.4,61,99,3.36
85,Jamestown,AU,1559866458,-33.21,138.6,53.33,67,0,11.52
86,Lompoc,US,1559866458,34.64,-120.46,75.0,77,1,11.41
87,Terney,RU,1559866458,45.05,136.61,55.31,79,89,2.95
88,Henties Bay,NA,1559866459,-22.12,14.28,57.47,80,0,11.54
89,Pesqueira,BR,1559866417,-8.36,-36.7,62.87,96,18,5.44
90,Nabire,ID,1559866459,-3.36,135.5,78.35,83,100,0.6
91,Benguela,AO,1559866459,-12.58,13.4,74.21,74,0,4.81
92,Tuktoyaktuk,CA,1559866459,69.44,-133.03,57.2,44,75,10.29
93,Spearfish,US,1559866459,44.49,-103.86,87.01,28,20,10.29
94,Viedma,AR,1559866460,-40.81,-62.99,57.29,39,0,17.07
95,Atuona,PF,1559866460,-9.8,-139.03,81.95,75,14,17.13
96,Matamoros,US,1559866460,25.87,-97.51,96.8,47,1,9.17
97,Ambilobe,MG,1559866460,-13.19,49.05,71.87,69,93,8.86
98,Dolores,AR,1559866461,-36.31,-57.68,58.01,96,100,5.95
99,Metro,ID,1559866461,-5.11,105.31,75.65,89,91,4.03
100,Durban,FR,1559866461,43.54,0.58,64.0,72,0,4.7
101,Balkanabat,TM,1559866462,39.51,54.36,87.35,17,38,9.64
102,Bad Neuenahr-Ahrweiler,DE,1559866462,50.54,7.12,55.99,81,0,4.7
103,Alta,NO,1559866462,69.97,23.27,48.2,93,23,5.82
104,Kirkland Lake,CA,1559866462,48.15,-80.03,69.8,26,1,11.41
105,Palmas de Monte Alto,BR,1559866462,-14.26,-43.16,72.95,55,13,8.75
106,Mettupalayam,IN,1559866463,11.31,76.94,78.8,83,20,9.17
107,Hasaki,JP,1559866463,35.73,140.83,70.0,94,75,8.05
108,Lazaro Cardenas,MX,1559866463,28.39,-105.62,93.2,15,20,9.17
109,Mahibadhoo,MV,1559866463,3.78,72.97,83.93,78,100,18.48
110,Alekseyevka,RU,1559866463,53.25,50.49,57.2,71,0,11.18
111,Maceio,BR,1559866464,-9.67,-35.74,73.4,83,0,2.24
112,Narsaq,GL,1559866464,60.91,-46.05,53.6,27,100,20.8
113,Lebu,ET,1559866464,8.96,38.73,59.27,80,91,3.76
114,Ribeira Grande,PT,1559866464,38.52,-28.7,64.85,86,56,10.2
115,Grenada,US,1559866429,33.77,-89.81,80.6,88,75,6.73
116,Esperance,TT,1559866464,10.24,-61.45,82.4,69,20,6.93
117,San Patricio,PY,1559866465,-26.98,-56.83,63.95,82,16,9.19
118,Sao Joao da Barra,BR,1559866228,-21.64,-41.05,66.2,88,0,4.7
119,Fort Nelson,CA,1559866206,58.81,-122.69,51.8,57,75,8.05
120,Orlik,RU,1559866465,52.51,99.83,46.49,43,0,3.29
121,Noumea,NC,1559866465,-22.28,166.46,75.2,50,75,12.75
122,Khatanga,RU,1559866466,71.98,102.47,63.23,38,34,6.17
123,Ishigaki,JP,1559866466,24.34,124.16,84.2,89,75,14.99
124,Port Alfred,ZA,1559866466,-33.59,26.89,50.0,65,26,5.01
125,Bredasdorp,ZA,1559866466,-34.53,20.04,41.0,93,67,5.82
126,Axim,GH,1559866466,4.87,-2.24,79.43,86,100,9.73
127,Vao,EE,1559866466,59.1,26.19,65.39,81,0,5.03
128,Arraial do Cabo,BR,1559866225,-22.97,-42.02,60.8,93,20,2.24
129,Upernavik,GL,1559866467,72.79,-56.15,34.61,83,83,4.32
130,Kieta,PG,1559866467,-6.22,155.63,84.29,73,100,11.12
131,Luderitz,NA,1559866467,-26.65,15.16,53.6,76,0,8.05
132,Acari,BR,1559866467,-6.44,-36.64,77.45,67,27,17.85
133,La Ronge,CA,1559866468,55.1,-105.3,53.6,87,90,10.29
134,Talnakh,RU,1559866468,69.49,88.39,44.6,70,0,8.95
135,Presque Isle,US,1559866308,46.68,-68.02,66.2,27,20,12.75
